fs_name,Annual_depreciation_rate,Annual_discount_rate,Annual_insurance_costs_per_crew,Annual_other_income,Crewshare_and_unpaid_labour_costs_percent,Landing_costs_percent,Nb_crew,Nb_Vessels,Opportunity_interest_rate,Other_annual_fixed_costs,Other_variable_costs_per_unit_effort,Standard_annual_full_time_employment_hours,Standard_labour_hour_opportunity_costs,Vessel_value
USA0097,0.04,0.052,0,0,60.04033555,0,4,1,0.05,99176.54468,44.48473592,2080,52.8,1294626.811
USA0098,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0099,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0100,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0101,0.04,0.052,0,0,65.89767478,0,3,1,0.05,92852.46699,47.02998693,2080,52.8,1822132.592
USA0102,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0103,0.04,0.052,0,0,59.9086017,0,4,1,0.05,94418.87181,45.12455511,2080,52.8,1364268.935
USA0104,0.04,0.052,0,0,61.94720473,0,4,1,0.05,96124.71367,43.95970323,2080,52.8,1387210.298
USA0105,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0106,0.04,0.052,0,0,62.20361272,0,4,1,0.05,95537.11499,44.12427004,2080,52.8,1367574.023
USA0107,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0108,0.04,0.052,0,0,63.55119207,0,4,1,0.05,92931.87356,44.99561752,2080,52.8,1334535.401
USA0109,0.04,0.052,0,0,68.74151965,0,3,1,0.05,123608.0261,52.84209049,2080,52.8,2813246.385
USA0110,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0111,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0112,0.04,0.052,0,0,68.76753384,0,3,1,0.05,123466.3848,52.66658237,2080,52.8,2807138.889
USA0113,0.04,0.052,0,0,68.88278292,0,3,1,0.05,89967.39156,48.62551984,2080,52.8,2053262.732
USA0114,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0115,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0116,0.04,0.052,0,0,69.55038109,0,3,1,0.05,93847.44963,47.86001533,2080,52.8,2041982.992
USA0117,0.04,0.052,0,0,67.1436335,0,3,1,0.05,95086.67143,46.99432584,2080,52.8,1871808.423
USA0118,0.04,0.052,0,0,69.00815624,0,3,1,0.05,89956.21835,48.6654789,2080,52.8,2060900.091
USA0119,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0120,0.04,0.052,0,0,60.90903339,0,4,1,0.05,98990.09651,44.28399882,2080,52.8,1371375.738
USA0121,0.04,0.052,0,0,60.15330032,0,4,1,0.05,93640.14208,45.15015431,2080,52.8,1395987.555
USA0122,0.04,0.052,0,0,67.28056279,0,3,1,0.05,130526.8977,52.52369273,2080,52.8,2836383.609
USA0123,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0124,0.04,0.052,0,0,66.99221689,0,3,1,0.05,94911.55277,46.59187783,2080,52.8,1840072.715
USA0125,0.04,0.052,0,0,69.75472567,0,3,1,0.05,122247.9308,52.71422599,2080,52.8,2847027.822
USA0126,0.04,0.052,0,0,68.41448602,0,3,1,0.05,119769.9876,53.42434978,2080,52.8,2830197.964
USA0127,0.04,0.052,0,0,63.33241942,0,4,1,0.05,92574.12578,44.97039517,2080,52.8,1280864.256
USA0128,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0129,0.04,0.052,0,0,66.23828736,0,3,1,0.05,136003.8919,52.56332338,2080,52.8,2863831.981
USA0130,0.04,0.052,0,0,60.5771551,0,4,1,0.05,92155.38603,45.31121408,2080,52.8,1377408.225
USA0131,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0132,0.04,0.052,0,0,63.19516307,0,4,1,0.05,92854.5373,44.88060195,2080,52.8,1285549.055
USA0133,0.04,0.052,0,0,68.83226167,0,3,1,0.05,121497.3293,53.8665702,2080,52.8,2874203.884
USA0134,0.04,0.052,0,0,64.07871487,0,4,1,0.05,156551.0509,53.91714452,2080,52.8,2970535.865
USA0135,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0136,0.04,0.052,0,0,63.28777997,0,4,1,0.05,92607.54153,44.94968339,2080,52.8,1277996.685
USA0137,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0138,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0139,0.04,0.052,0,0,63.18901895,0,4,1,0.05,160938.3641,53.19912676,2080,52.8,3100695.758
USA0140,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0141,0.04,0.052,0,0,69.83079999,0,3,1,0.05,121993.372,52.77126207,2080,52.8,2838581.226
USA0142,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0143,0.04,0.052,0,0,63.28558089,0,4,1,0.05,92613.39919,44.94804616,2080,52.8,1278175.794
USA0144,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0145,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0146,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0147,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0148,0.04,0.052,0,0,63.44624211,0,4,1,0.05,159521.0401,53.47847275,2080,52.8,3051855.745
USA0149,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0150,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0151,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0152,0.04,0.052,0,0,71.49956199,0,3,1,0.05,90350.67747,48.38865542,2080,52.8,2014600.246
USA0153,0.04,0.052,0,0,68.41448602,0,3,1,0.05,119769.9876,53.42434978,2080,52.8,2830197.964
USA0154,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0155,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0156,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0157,0.04,0.052,0,0,62.7710987,0,4,1,0.05,93317.92268,44.76689464,2080,52.8,1309154.018
USA0158,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0159,0.04,0.052,0,0,60.24354696,0,4,1,0.05,95325.76733,44.9452864,2080,52.8,1366214.007
USA0160,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0161,0.04,0.052,0,0,68.12563896,0,3,1,0.05,94683.47815,47.22470183,2080,52.8,1940450.044
USA0162,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0163,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0164,0.04,0.052,0,0,63.05725315,0,4,1,0.05,92592.97937,44.96909181,2080,52.8,1286316.843
USA0165,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0166,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0167,0.04,0.052,0,0,61.16570207,0,4,1,0.05,97860.0138,44.25698667,2080,52.8,1374614.912
USA0168,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0169,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0170,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0171,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0172,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0173,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0174,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0175,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0176,0.04,0.052,0,0,62.67787179,0,4,1,0.05,94245.23515,44.48989495,2080,52.8,1328072.314
USA0177,0.04,0.052,0,0,64.03031031,0,4,1,0.05,156786.1066,53.8789877,2080,52.8,2977509.34
USA0178,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0179,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0180,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0181,0.04,0.052,0,0,63.19087237,0,4,1,0.05,92865.99457,44.87739524,2080,52.8,1285899.383
USA0182,0.04,0.052,0,0,65.68767884,0,4,1,0.05,139065.8654,52.87484564,2080,52.8,2888809.543
USA0183,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0184,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0185,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0186,0.04,0.052,0,0,60.44315116,0,4,1,0.05,96147.80486,44.7776472,2080,52.8,1384199.831
USA0187,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0188,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0189,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0190,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0191,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0192,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0193,0.04,0.052,0,0,63.17281411,0,4,1,0.05,92554.56255,44.97322473,2080,52.8,1281367.132
USA0194,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0195,0.04,0.052,0,0,62.03006335,0,4,1,0.05,96013.95907,43.98865676,2080,52.8,1382154.447
USA0196,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0197,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0198,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0199,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0200,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0201,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0202,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0203,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0204,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0205,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0206,0.04,0.052,0,0,64.07871487,0,4,1,0.05,156551.0509,53.91714452,2080,52.8,2970535.865
USA0207,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0208,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0209,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0210,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0211,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0212,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
