VE_REF,Nb_Vessels,Nb_crew,Annual_other_income,Landing_costs_percent,Crewshare_and_unpaid_labour_costs_percent,Other_variable_costs_per_unit_effort,Annual_insurance_costs_per_crew,Standard_labour_hour_opportunity_costs,Standard_annual_full_time_employment_hours,Other_annual_fixed_costs,Vessel_value,Annual_depreciation_rate,Opportunity_interest_rate,Annual_discount_rate
USA0156,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0157,1,4,0,0,62.7710987,44.76689464,0,52.8,2080,93317.92268,1309154.018,0.04,0.05,0.052
USA0158,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0159,1,4,0,0,60.24354696,44.9452864,0,52.8,2080,95325.76733,1366214.007,0.04,0.05,0.052
USA0160,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0161,1,3,0,0,68.12563896,47.22470183,0,52.8,2080,94683.47815,1940450.044,0.04,0.05,0.052
USA0162,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0163,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0164,1,4,0,0,63.05725315,44.96909181,0,52.8,2080,92592.97937,1286316.843,0.04,0.05,0.052
USA0165,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0166,1,4,0,0,60.96439674,44.17434243,0,52.8,2080,100039.1852,1366206.669,0.04,0.05,0.052
USA0167,1,4,0,0,61.16570207,44.25698667,0,52.8,2080,97860.0138,1374614.912,0.04,0.05,0.052
USA0168,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0169,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0170,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0171,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0172,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0173,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0174,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0175,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0176,1,4,0,0,62.67787179,44.48989495,0,52.8,2080,94245.23515,1328072.314,0.04,0.05,0.052
USA0177,1,4,0,0,64.03031031,53.8789877,0,52.8,2080,156786.1066,2977509.34,0.04,0.05,0.052
USA0178,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0179,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0180,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0181,1,4,0,0,63.19087237,44.87739524,0,52.8,2080,92865.99457,1285899.383,0.04,0.05,0.052
USA0182,1,4,0,0,65.68767884,52.87484564,0,52.8,2080,139065.8654,2888809.543,0.04,0.05,0.052
USA0183,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0184,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0185,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0186,1,4,0,0,60.44315116,44.7776472,0,52.8,2080,96147.80486,1384199.831,0.04,0.05,0.052
USA0187,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0188,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0189,1,4,0,0,60.96439674,44.17434243,0,52.8,2080,100039.1852,1366206.669,0.04,0.05,0.052
USA0190,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0191,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0192,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0193,1,4,0,0,63.17281411,44.97322473,0,52.8,2080,92554.56255,1281367.132,0.04,0.05,0.052
USA0194,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0195,1,4,0,0,62.03006335,43.98865676,0,52.8,2080,96013.95907,1382154.447,0.04,0.05,0.052
USA0196,1,4,0,0,60.96439674,44.17434243,0,52.8,2080,100039.1852,1366206.669,0.04,0.05,0.052
USA0197,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0198,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0199,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0200,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0201,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0202,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0203,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0204,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0205,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0206,1,4,0,0,64.07871487,53.91714452,0,52.8,2080,156551.0509,2970535.865,0.04,0.05,0.052
USA0207,1,4,0,0,60.96439674,44.17434243,0,52.8,2080,100039.1852,1366206.669,0.04,0.05,0.052
USA0208,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0209,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0210,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0211,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0212,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0213,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0214,1,4,0,0,62.0340772,44.31029157,0,52.8,2080,95900.12943,1352638.139,0.04,0.05,0.052
USA0215,1,4,0,0,60.29273805,45.00968863,0,52.8,2080,94323.41082,1393010.035,0.04,0.05,0.052
USA0216,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0217,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0218,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0219,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0220,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0221,1,4,0,0,61.69096699,44.02621447,0,52.8,2080,96645.83156,1386085.532,0.04,0.05,0.052
USA0222,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0224,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0225,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0226,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
